BreedName,Tested,Passed,Failed,Percent
OLD ENGLISH BULL DOGGE,20,19,1,95.00
OLD ENGLISH SHEEPDOG,49,38,11,77.60
OTTERHOUND,11,8,3,72.70
PAPILLON,96,79,17,82.30
PARSON RUSSELL TERRIER,12,12,0,100.00
PATTERDALE TERRIER,5,4,1,80.00
PEKINGESE,15,14,1,93.30
PEMBROKE WELSH CORGI,216,172,44,79.60
PERRO DE PRESA CANARIO,4,4,0,100.00
PETIT BASSET GRIFFON VENDEEN,9,8,1,88.90
PHARAOH HOUND,55,45,10,81.80
POINTER,20,18,2,90.00
POLISH LOWLAND SHEEPDOG,11,6,5,54.50
POMERANIAN,36,28,8,77.80
"POODLE, MINIATURE",73,56,17,76.70
"POODLE, STANDARD",266,232,34,87.20
"POODLE, TOY",57,45,12,78.90
PORTUGUESE PODONGO (GRANDE),2,1,1,50.00
PORTUGUESE PODONGO (MEDIO),3,3,0,100.00
PORTUGUESE PODONGO (PEQUENO),2,1,1,50.00
PORTUGUESE WATER DOG,163,127,36,77.90
PRESA CANARIO,41,37,4,90.20
PUG,48,44,4,91.70
PULI,26,24,2,92.30
PUMI,1,1,0,100.00
PUNGSAN,2,2,0,100.00
PYRENEAN SHEPHERD,4,3,1,75.00
RAT TERRIER,27,21,6,77.80
RHODESIAN RIDGEBACK,563,474,89,84.20
ROTTWEILER,6012,5093,919,84.70
RUSSO – EUROPEAN LAIKA,2,2,0,100.00
SAINT BERNARD,53,45,8,84.90
SALUKI,67,46,21,68.70
SAMOYED,294,236,58,80.30
SCHIPPERKE,130,119,11,91.50
SCOTTISH DEERHOUND,34,29,5,85.30
SCOTTISH TERRIER,35,23,12,65.70
SEALYHAM TERRIER,1,1,0,100.00
SHETLAND SHEEPDOG,515,355,160,68.90
SHIBA INU,28,19,9,67.90
SHIH TZU,49,38,11,77.60
SHILOH SHEPHERD,26,21,5,80.80
SIBERIAN HUSKY,310,269,41,86.80
SILKEN WINDHOUND,4,4,0,100.00
SILKY TERRIER,19,14,5,73.70
SKYE TERRIER,8,3,5,37.50
SLOUGHI,3,3,0,100.00
SMALL MUNSTERLANDER,1,1,0,100.00
SOFT COATED WHEATEN TERRIER,37,27,10,73.00
SPINONE ITALIANO,6,3,3,50.00
STAFFORDSHIRE BULL TERRIER,143,130,13,90.90
STANDARD SCHNAUZER,76,54,22,71.10
SUSSEX SPANIEL,4,4,0,100.00
SWEDISH VALLHUND,4,4,0,100.00
TEXAS HEELER,1,1,0,100.00
THAI RIDGEBACK,2,2,0,100.00
TIBETAN KYAPSO,1,1,0,100.00
TIBETAN MASTIFF,17,9,8,52.90
TIBETAN SPANIEL,12,11,1,91.70
TIBETAN TERRIER,14,8,6,57.10
TOSA,3,3,0,100.00
TOY FOX TERRIER,10,8,2,80.00
TRANSYLVANIAN HOUND,3,3,0,100.00
TREEING FEIST,2,1,1,50.00
VIZSLA,54,46,8,85.20
WEIMARANER,224,181,43,80.80
WELSH SPRINGER SPANIEL,6,6,0,100.00
WELSH TERRIER,38,29,9,76.30
WEST HIGHLAND WHITE TERRIER,68,61,7,89.70
WHIPPET,203,175,28,86.20
WHITE SHEPHERD,32,28,4,87.50
WHITE SWISS SHEPHERD,1,1,0,100.00
WIREHAIRED POINTING GRIFFON,2,2,0,100.00
XOLOITZCUINTLI,8,7,1,87.50
YORKSHIRE TERRIER,43,36,7,83.70
YUGOSLAVIAN TRICOLOR HOUND,1,1,0,100.00
